PredictedSentiment,TweetText,CleanedTweet
neutral,"If you've been struggling to get hold of me, I'm back online with a new iPhone - thanks @apple",struggling hold back online iphone thanks apple
neutral,"Hey @Apple, pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said, your hold music is crap.",apple pretty much product amazing blow mind every time launch gizmo said hold music crap
neutral,Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon,great tech http jgrobp fastcompany profile amazon apple google facebook cnbc philsimon
neutral,@Jake_Gyllenhaal So you've made up with @Apple?,jake gyllenhaal made apple
positive,@Apple has a pic of Steve Jobs on their home page. #Honor,apple steve job home page honor
neutral,"@Apple to shut stores!!! C'mon, Only Wednesday for @SteveJobs memorial.",apple shut store wednesday stevejobs memorial
neutral,@Motorola is the Best Android-powered company that is going against @Apple.,motorola best android powered company going apple
neutral,@apple #readyfor5.0.1 http://t.co/M2FqakYr,apple readyfor http fqakyr
positive,This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.,waiting apple last project steve job working cranial insertion device implant
neutral,Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw,apple user official kalifornia cavi apple device powered apple download free http cohlgnvlrw
neutral,The official Kalifornia Cavi Mobil App is now available on the app store - powered by @Apple - Download it free http://t.co/HlGnvlRw,official kalifornia cavi mobil available store powered apple download free http cohlgnvlrw
neutral,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps",apple ipod touch mommy gaga pampers hello world baby memory http woujuh pampershelloapps
neutral,@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy,apple ripsteve davepeck steve job seven rule success http nlrldwy
neutral,"macbreak weekly @TWiT via @apple airplay in full HD on the 42"". finally! @leolaporte @Ihnatko @alexlindsay",macbreak weekly twit apple airplay full finally leolaporte ihnatko alexlindsay
neutral,"Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple",stay young stay foolish take ownership complain never give resilience apple
neutral,"Dear @motorola, I smell a lawsuit coming your way. cc: @apple #motoactv",dear motorola smell lawsuit coming apple motoactv
positive,RT @hofmania: I just paid someone to wait in line at the @apple store this morning for me on @zaarly #putapriceonconvenience #iphone htt ...,hofmania paid someone wait line apple store morning zaarly putapriceonconvenience iphone
neutral,@apple Or @Microsoft Buying Out @RIM ?,apple microsoft buying
negative,@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone,apple wireless remote keynote presentation macbook nobody want pith navigate iphone
neutral,"RT @HaendelBalzora: dear @apple please invent ""FaceTime Voicemails."" sincerely, haendel balzora jr. #apple",haendelbalzora dear apple please invent facetime voicemail sincerely haendel balzora apple
neutral,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps",apple ipod touch mommy gaga pampers hello world baby memory http coyuydxo pampershelloapps
neutral,"dear @apple please invent ""FaceTime Voicemails."" sincerely, haendel balzora jr. #apple",dear apple please invent facetime voicemail sincerely haendel balzora apple
neutral,"RT @jesperordrup: Hi @apple. Household has 4 iphones, 2 ipads, 2 minis, 2 apple tv, AirPorts, Timecapsule +. Whats a usable iPhoto shari ...",jesperordrup apple household iphones ipads mini apple airport timecapsule whats usable iphoto shari
positive,Couldnt help it & explored the #iphone4s @apple store & talked to #Siri... Should've tried to speak to her in French?! #nexttime,couldnt help explored iphone apple store talked siri tried speak french nexttime
neutral,"is it just me or do other people miss the iPod symbol on the iPhone? I had the first iPod, it's what I relate to @apple #ios5 #nostalgia",people miss ipod symbol iphone first ipod relate apple nostalgia
neutral,@ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?,attcustomercare apple already iphone contract factory unlocked iphone contract
positive,RT @HowardMortman: .RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/7vZSIXpy,howardmortman edatpost apple eric holder spotted genius store http vzsixpy
neutral,"Hi @apple. Household has 4 iphones, 2 ipads, 2 minis, 2 apple tv, AirPorts, Timecapsule +. Whats a usable iPhoto sharing setup? /cc @maddox",apple household iphones ipads mini apple airport timecapsule whats usable iphoto sharing setup maddox
neutral,RT @edatpost: Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn,edatpost genius edatpost apple eric holder spotted genius store http coftlttlpn
positive,#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits,motoactiv methinks apple maybe nike already prepping lawsuit
negative,Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant,check video play live ipads video dedicated memory stevejobs http coxsiydnqu ipad apple brilliant
neutral,Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn,genius edatpost apple eric holder spotted genius store http coftlttlpn
neutral,Evolution of @Apple Ads 1975-2002: http://t.co/QTOqOZ42 @thesavoia #stevejobs #tech #art,evolution apple http coqtoqoz thesavoia stevejobs tech
neutral,@apple #siri http://t.co/k7b686hX,apple siri http
positive,.RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/LCTPxHF5,edatpost apple eric holder spotted genius store http colctpxhf
neutral,RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn,edatpost apple eric holder spotted genius store http coftlttlpn
positive,RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/OshPyV2G,edatpost apple eric holder spotted genius store http cooshpyv
neutral,New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book,arrival percent clearance matching http coqqcwyl scripture apple book
neutral,Today very cheap for Patio Furniture San Anton http://t.co/Sd3i1bjm@Plastic @Apple @Bags,today cheap patio furniture anton http cosd plastic apple bag
neutral,Causando na loja da @apple,causando loja apple
neutral,"Fico manso os preços desses IPHONEs,absurdos R$ 2.500! Assim não dá Fía @apple, Só se eu fizesse programa na Beira Mar :(",fico manso des iphones absurdos assim apple fizesse programa beira
neutral,Find more the best Angel Christmas Tree O http://t.co/d5G1rY5d@Starfrit @Apple @Peeler,find best angel christmas tree http starfrit apple peeler
positive,Find more the best Maytag Washer Control Board deal.Check pric http://t.co/SNdkAg3e@Best @Apple @Peeler,find best maytag washer control board deal check pric http cosndkag best apple peeler
negative,Find more the best Cyst On Knee deal.Check price of best Cyst On Knee and offers now. http://t.co/qzYnNuvI@Automatic @Apple,find best cyst knee deal check price best cyst knee offer http coqzynnuvi automatic apple
neutral,Do not check other site for Uhmw Conveyor.Now you go best site of Uhmw Conveyor. http://t.co/8RMV5D2q@9 @Pin @Cable @Apple,check site uhmw conveyor best site uhmw conveyor http cable apple
negative,Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones,check site hardy black long http cohengqgqp unlocked apple touch phone
neutral,"RT @ThBenkoe: hey @apple! dass man selektiv keine einzelnen fotos (peinliche, überflüssige etc.) aus dem fotostream löschen kann, ist do ...",thbenkoe apple das selektiv keine einzelnen fotos peinliche berfl ssige fotostream schen kann
neutral,Esperaba mas de &quot;IOS 5&quot; @Apple,esperaba quot quot apple
negative,Hello you are find Mesh Jacket Motorcycle? Our site have more Mesh http://t.co/tYg4Ualc@Ace @Hardware @Apple @Pee,hello find mesh jacket motorcycle site mesh http cotyg ualc hardware apple
neutral,to reiniciando meu computador. ó as idéia @apple,reiniciando computador apple
neutral,@chriswglowe @apple @gadgetlab you can tell me tonight ;-) cracking open the vodka tonight if you fancy ?,chriswglowe apple gadgetlab tell tonight cracking open vodka tonight fancy
neutral,Buy more products of Hemp Jewelry Instructions now.Free ship http://t.co/928bPS4t@Lehmans @Apple @Peeler,product hemp jewelry instruction free ship http lehmans apple peeler
neutral,@rogriffo VC Viu ontem A @Apple Estava dando IPhone 3 No Site dos estados Unidos,rogriffo ontem apple estava dando iphone site estados unidos
neutral,Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK,sabias mkdirecto usuarios ipad desayunan cenan tableta apple http coeyxcqqmk
neutral,Today very cheap for Hemp For Fuel.And Free shipping for Hemp For Fuel too. http://t.co/8gyJLbMW@Farberware @Apple @Peeler,today cheap hemp fuel free shipping hemp fuel http gyjlbmw farberware apple peeler
neutral,Discount Hemp Knots today.Cheap price too.Save money for best Hemp Knots. http://t.co/9H3jopLq@Avanti @Apple @Peeler,discount hemp knot today cheap price save money best hemp knot http joplq avanti apple peeler
neutral,Today very cheap for 2198597 Icemaker.And Free shipping for 2198597 Icemaker too. http://t.co/6CLkWAiO@French @Apple @Peeler,today cheap icemaker free shipping icemaker http clkwaio french apple peeler
neutral,"Took me months to decide, but tonight I have chosen #google over Amazon S3 for image storage solution.",took month decide tonight chosen google amazon image storage solution
positive,RT @spacecanard Today's the Day. ICS &lt;3 #android #google #samsung,spacecanard today android google samsung
neutral,"The new Nexus looks good! UI feel a bit confusing but I guess Android users are ok with that! Now, try it :) #Google #android #nexusprime",nexus look good feel confusing guess android user google android nexusprime
neutral,Very nice trivia game by #Google. Helps you use their search better http://t.co/ikN087ZE,nice trivia game google help search better http coikn
neutral,Very nice trivia game by #Google. Helps you use their search better http://t.co/c5Tu3dZK #fb,nice trivia game google help search better http
positive,Cant build a website. Get a #Google website #Free ! http://t.co/7qUy4uOU,cant build website google website free http
negative,#Android ICS is looking pretty good. Not quite sure if its worth the 4.0 numbering leap. #google,android looking pretty good quite sure worth numbering leap google
neutral,@Tita_Ramos #Google it =),tita ramos google
positive,RT @p1j Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/MTu7tGx7   #android #google #nexus #BigMAMA,android cream sandwich google nexus avtar http comtu android google nexus bigmama
neutral,"Me too RT @MohamedG: Exciting day, It's Ice cream Sandwich day ;) #Google #Android",mohamedg exciting cream sandwich google android
negative,WOW the new #Google #Nexus is just beautiful. totally gonna boost google's market share in the smart phone market.,google nexus beautiful totally gon na boost google market share smart phone market
neutral,"hahaha integrated data usage manager... in sucha brilliant way, sleek design, superb and I'm only watching videos LOL #Google",hahaha integrated data usage manager sucha brilliant sleek design superb watching video google
neutral,I fancy an Ice Cream Sandwich #google #android. Wonder it will works on my HTC Desire?,fancy cream sandwich google android wonder work desire
positive,"Google Ice Cream Sandwich - sounds yummy!  What do you think? http://t.co/gMsgXcq8
#google #Android #ice cream sandwich",google cream sandwich sound yummy think http cogmsgxcq google android cream sandwich
neutral,#Google Me!!!!!!!!,google
neutral,"Exciting day, It's Ice cream Sandwich day ;) #Google #Android",exciting cream sandwich google android
positive,Android 4.0 Ice Cream Sandwich is Here with a Google Nexus in new Avtar!   http://t.co/mSWX6Eo6   #android #google #nexus #BigMAMA,android cream sandwich google nexus avtar http comswx android google nexus bigmama
neutral,@Bla1ze I was referring to #Google & #Icecreamsandwich. It looks amazing. What imo android was missing. I ... http://t.co/rE4nLZgI,referring google icecreamsandwich look amazing android missing http core nlzgi
neutral,http://t.co/QV4m1Un9 Forget the phone.. Nice UI. Liking the Scroll Feature #android #google #nexus,http coqv forget phone nice liking scroll feature android google nexus
positive,#Google People app...the next revolution in stalking.,google people next revolution stalking
neutral,first thing on #google's to do list: hire a performance coach.,first thing google list hire performance coach
positive,"#Samsung, #Google Unveil Phone http://t.co/hOB37hbO",samsung google unveil phone http cohob
positive,Why is #Google whoring for SAMSUNG? #ICS,google whoring samsung
neutral,"If #Google don't fix pinch-zoom on #Android 2.3.6 soon, I might have to leave the fold and go #CyanogenMod",google pinch zoom android soon might leave fold cyanogenmod
positive,facial recognition failed #IceCreamSandwich jajajajajajaj #FacialUnlock #samsumg #Google,facial recognition failed icecreamsandwich jajajajajajaj facialunlock samsumg google
neutral,"Ouch, crash and burn. #Android facial recognition in #IceCreamSandwich didn't work during the presentation. http://t.co/6vsasZyT #Google",ouch crash burn android facial recognition icecreamsandwich work presentation http vsaszyt google
neutral,Google is gonna need to do better than this to beat #iOS #Android #icecreamsandwich #Google http://t.co/tBNyX7p7,google gon na need better beat android icecreamsandwich google http cotbnyx
neutral,RT @RoycinD: Face Unlock ! #ICS Literally knows your face! #Google #galaxynexus FAILED !,roycind face unlock literally know face google galaxynexus failed
neutral,#fail on the face recognition not working #google #samsung,fail face recognition working google samsung
positive,The face recognition unlock would be cool if it works. #android #google #icecreamsandwich,face recognition unlock would cool work android google icecreamsandwich
neutral,On Google+ then go here http://t.co/oTBwkxo9 #GPlus #Googleplus #Google #teamfollowback #socialnetwork,google http cootbwkxo gplus googleplus google teamfollowback socialnetwork
positive,Who else is on g+ ? Add for add? Let me know.  #TFB #TAF #google+,else know google
neutral,Have anyone of you found a Twitter to Google+ tool? #Google #Twitter,anyone found twitter google tool google twitter
negative,#Google unveils next iteration of #Android - #icecreamsandwich - with several revamps incl facial recognition security http://t.co/xMrZVkav,google unveils next iteration android icecreamsandwich several revamps incl facial recognition security http coxmrzvkav
neutral,"Google Offers to compete with Groupon, Living Social - Pittsburgh Post-Gazette http://t.co/Wwj3xvdm #google",google offer compete groupon living social pittsburgh post gazette http cowwj xvdm google
neutral,What does it take to get a job at #Google? #recruiting http://t.co/eVjiH7oD,take google recruiting http coevjih
positive,"Samsung Galaxy Nexus, Android Ice Cream Sandwich unveiled http://t.co/wWrYcM04 #android #google #samsung",samsung galaxy nexus android cream sandwich unveiled http cowwrycm android google samsung
neutral,http://t.co/e5ClGzsI #google,http clgzsi google
neutral,#Google #Ice Cream Sandwich (#Android 4.0): a hands-on ##screenshot #gallery http://t.co/bpZRz337,google cream sandwich android hand screenshot gallery http cobpzrz
positive,Now it's time for some Ice Cream Sandwich! #Samsung launched it's latest Android Galaxy Nexus phone powered by #Google,time cream sandwich samsung launched latest android galaxy nexus phone powered google
positive,in the theater .. there are are a good 300 ppl here. #guae #google #dubai http://t.co/OjykYcfo,theater good guae google dubai http coojykycfo
positive,#Android #Google Samsung Galaxy Nexus official hands-on [Video] http://t.co/6GX3R9MT #DhilipSiva,android google samsung galaxy nexus official hand video http dhilipsiva
neutral,RT @NeowinFeed: Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/L5m9uwD7 #neowin,neowinfeed android cream sandwich announcement round android google http neowin
neutral,RT @iPadPowerUsers On Google+ then go here http://t.co/1OGs2xA9 #GPlus #Googleplus #Google #teamfollowback #socialnetwork,ipadpowerusers google http gplus googleplus google teamfollowback socialnetwork
neutral,Did #Facebook Just Beat #Google At Its Own Game? http://t.co/SiJsB3ME #socialmedia,facebook beat google game http cosijsb socialmedia
neutral,Did #Facebook Just Beat #Google At Its Own Game? http://t.co/xVonCBeb #socialmedia,facebook beat google game http coxvoncbeb socialmedia
positive,#Google Says ICS Is Coming To The #Nexus S And “Theoretically” Should Work With 2.3 Devices http://t.co/TY0HDQAm,google say coming nexus theoretically work device http coty hdqam
negative,RT @twandroid Nouvelle gestion des onglets sur le navigateur #google #nexusprime,twandroid nouvelle gestion onglets navigateur google nexusprime
neutral,"""Request desktop site"" : fonction très sympa #google #nexusprime",request desktop site fonction sympa google nexusprime
neutral,Reconnaissance faciale poir debloquer ton phone :-)  #google #android,reconnaissance faciale poir debloquer phone google android
neutral,Nouvelle gestion des onglets sur le navigateur #google #nexusprime,nouvelle gestion onglets navigateur google nexusprime
negative,RT @twandroid: Hugo Barra sur scène #google #nexusprime,twandroid hugo barra google nexusprime
neutral,A los interesados pueden seguir la presentación stream de #google y #samsung sobre lo nuevo de #android,interesados pueden seguir presentaci stream google samsung sobre nuevo android
neutral,Use Caution When Sharing on Social Networks http://t.co/SXNoBASn via @LarryMagid #youth #facebook #google+,caution sharing social network http cosxnobasn larrymagid youth facebook google
neutral,Intégration de la reconnaissance vocale #google #nexusprime,gration reconnaissance vocale google nexusprime
neutral,RT @twandroid: Les notifications sont visibles depuis le lockscreen #google #nexusprime,twandroid notification sont visibles depuis lockscreen google nexusprime
neutral,RT @twandroid: Possibilité de supprimer les notifications en les swipant (comme sur Cyanogen) #google #nexusprime,twandroid possibilit supprimer notification swipant comme cyanogen google nexusprime
neutral,En train de suivre la keynote Google - Ice Cream Sandwich.. #Google #icecreamsandwich,train suivre keynote google cream sandwich google icecreamsandwich
negative,Deep Linking Plugin - Black... http://t.co/RnF3cNu8 #seo #search #google #hack #sem #it #business #web #marketing #online #yes #hot #winning,deep linking plugin black http cornf search google hack business marketing online winning
positive,"#galaxy #nexus #android #google / экраааааан / -4,7'' / -super HD amoled / -1280x720  / -16:9 /  / камера / 5м... http://t.co/3cbUMlg3",galaxy nexus android google super amoled http cbumlg
neutral,RT @twandroid Le baromètre est inclus dans le Galaxy Nexus #google #nexusprime,twandroid barom inclus dans galaxy nexus google nexusprime
neutral,Just participated in another #Microsoft #SQLServer certification test with #TSQL typing instead of multiple choices. Really cool.,participated another microsoft sqlserver certification test tsql typing instead multiple choice really cool
neutral,#Microsoft #Opens The Door To Two #Spanish #Entrepreneurs With #Medical #Project ! http://t.co/c97sNizT,microsoft open door spanish entrepreneur medical project http snizt
neutral,"#Buffalo, #Intel, #Microsoft, #IBM are the best pavilions at #SMAU",buffalo intel microsoft best pavilion smau
neutral,Windows Phone 7.5 Mango Update Process Ahead of Schedule. http://t.co/p1hwo73x  #Microsoft #WindowsPhone #Mango,window phone mango update process ahead schedule http microsoft windowsphone mango
neutral,WP7 is getting there: #Microsoft Claws Back to Smartphone Relevance: Rich Jaroslovsky - Bloomberg http://t.co/JIMML4RC via @BloombergNews,getting microsoft claw back smartphone relevance rich jaroslovsky bloomberg http cojimml bloombergnews
positive,On #Microsoft Excel making functions like it's my job #Productive,microsoft excel making function like productive
positive,RT @Logic2020: Why I love #Microsoft &gt; Microsoft hosting Kids TechFest to encourage careers in tech  http://t.co/fmzFWgYv #babygeeks  ...,logic love microsoft microsoft hosting kid techfest encourage career tech http cofmzfwgyv babygeeks
neutral,#Microsoft word works on my computer again! Yessss,microsoft word work computer
neutral,"In terms of unified communications giants, really surprised to see how underrated #Microsoft is",term unified communication giant really surprised underrated microsoft
neutral,#Microsoft dishing out free first-gen WP7 handsets at its stores http://t.co/cvfWMvmO,microsoft dishing free first handset store http cocvfwmvmo
neutral,"Will watch this one with interest! RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming ... http://t.co/kvJSerCj via @scottyd99999",watch interest rossmistry microsoft codename data explorer coming http cokvjsercj scottyd
neutral,Lunch today: 19.00  Eating it at #Microsoft while attending #VSLive?  Priceless.,lunch today eating microsoft attending vslive priceless
neutral,"Will watch this one with interest! RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming Next Month  http://t.co/vpQOyXWa",watch interest rossmistry microsoft codename data explorer coming next month http covpqoyxwa
neutral,"""#Microsoft details Search improvements in Windows 8 Start Screen"" http://t.co/Agv49znJ",microsoft detail search improvement window start screen http coagv
positive,Mango shows #Microsoft still has the taste for smartphone success http://t.co/AFm8VSMm  #wp7 #mango,mango show microsoft still taste smartphone success http coafm vsmm mango
positive,RT @bmann Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local,bmann awesome tommylee moving vancouver evangelist microsoft finally local
positive,Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local,awesome tommylee moving vancouver evangelist microsoft finally local
neutral,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores: Microsoft's retail stores ar... http://t.co/r2RndN6Y,microsoft store offer free window phone device microsoft microsoftstores microsoft retail store http rndn
neutral,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/xoLRaueY #microsoft,microsoft store offer free window phone device microsoft microsoftstores http coxolrauey microsoft
neutral,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/F4HwAN6Q,microsoft store offer free window phone device microsoft microsoftstores http hwan
neutral,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/7YvJMHnQ,microsoft store offer free window phone device microsoft microsoftstores http yvjmhnq
positive,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/hJ8qlOC9 #neowin,microsoft store offer free window phone device microsoft microsoftstores http cohj qloc neowin
neutral,Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/BpFKyd1O,microsoft store offer free window phone device microsoft microsoftstores http cobpfkyd
neutral,#Microsoft store here I come to spend my hard earned cash. #vslive,microsoft store come spend hard earned cash vslive
neutral,just upgraded to win 8 on my pc only for it to tell me it failed to install and they dont know what happened thats #microsoft for you!,upgraded tell failed install dont know happened thats microsoft
neutral,Really hate the #Microsoft #mcp site,really hate microsoft site
positive,Screened by RepRisk – #Microsoft will undergo trial for its alleged anti-competitive practices @Microsoft,screened reprisk microsoft undergo trial alleged anti competitive practice microsoft
neutral,"I have concluded, having used it since March, that Windows 7 Ultimate is a complete catastrophe. Mr Gates, you have lost the plot #Microsoft",concluded used since march window ultimate complete catastrophe gate lost plot microsoft
neutral,How #Apple eclipsed #Microsoft http://t.co/dL9CRCZy,apple eclipsed microsoft http codl crczy
positive,Oh how much do I loathe #microsoft??? An hour to 'configure updates' which it is then unable to do so another 20 mins 'reverting changes'...,much loathe microsoft hour configure update unable another min reverting change
neutral,"http://t.co/zBLtZ5MW German Federal #Trojan's got a BigBrother. #Gov spying on its people, #Microsoft's 32bit/64bit #Windows is target",http cozbltz german federal trojan bigbrother spying people microsoft window target
neutral,"#Microsoft, #Adobe lose $13.5bn to piracy: Report http://t.co/x4yWfNSV",microsoft adobe lose piracy report http ywfnsv
neutral,"#Microsoft, #Adobe lose $13.5bn to piracy: Report http://t.co/wXBC1UUw",microsoft adobe lose piracy report http cowxbc
neutral,"System.IO.File.Delete - You lie! You didn't delete my file, and you didn't throw an exception. WTF!? #microsoft #net",system file delete delete file throw exception microsoft
neutral,"Wilth #Accessibility mode on in #SharePoint 2010, it seems that #Workflows sometimes do not start automatically #SP2010 #Workflow #Microsoft",wilth accessibility mode sharepoint seems workflow sometimes start automatically workflow microsoft
neutral,Internet Explorer 9 is the biggest pile of shit ever seriously #Microsoft #IE9,internet explorer biggest pile shit ever seriously microsoft
neutral,I have been seriously slacking with my #mandarin studies these past few months. Blame #Microsoft and #Cisco!! #StudyingWhilstMotivated,seriously slacking mandarin study past month blame microsoft cisco studyingwhilstmotivated
negative,sledgehammer maybe! RT @SkandalasGP Office blues *drink?* RT @wuppy: #microsoft fail #notresponding for fcucks sake  http://t.co/lCXa9q8P,sledgehammer maybe skandalasgp office blue drink wuppy microsoft fail notresponding fcucks sake http colcxa
neutral,#skype is ruining the friendship with your aggressive #microsoft type selling. If i need something i'll ask. Thank you...,skype ruining friendship aggressive microsoft type selling need something thank
neutral,Office blues *drink?* RT @wuppy: #microsoft fail #notresponding for fcucks sake  http://t.co/VtYbqI91,office blue drink wuppy microsoft fail notresponding fcucks sake http covtybqi
negative,@joannejacobs I'd like to criticise #Microsoft's Steve Ballmer face-to-face for all the pain & suffering their products cause. #justsaying,joannejacobs like criticise microsoft steve ballmer face face pain suffering product cause justsaying
neutral,#microsoft fail #notresponding for fcucks sake  http://t.co/lCXa9q8P,microsoft fail notresponding fcucks sake http colcxa
neutral,How #apple eclipsed #microsoft http://t.co/4bWXJaDg by @charlesarthur #business @guardian,apple eclipsed microsoft http bwxjadg charlesarthur business guardian
neutral,"RT @guardiantech: How #Apple eclipsed #Microsoft http://t.co/GK6YjTFY &lt;- Microsoft's future is in the corporate world, not consumer",guardiantech apple eclipsed microsoft http cogk yjtfy microsoft future corporate world consumer
neutral,"♻ @waynp:  Not the MS hate bit tho. &lt; Waddya mean? #microsoft sucks bonobo monkeys' asses... #Linux roolz. For the extremists, there's #BSD",waynp hate waddya mean microsoft suck bonobo monkey ass linux roolz extremist
neutral,"#Microsoft, #Adobe lose $13.5bn to piracy: Report - The Times of India http://t.co/5IbOBNrH",microsoft adobe lose piracy report time india http ibobnrh
positive,"#Skype often crashing: #microsoft, what are you doing?",skype often crashing microsoft
neutral,"#Microsoft's #SteveBallmer attacks #Android phones ..... well #windows7mobile is gay, you metro! http://t.co/sQnE1iLb via @Telegraph",microsoft steveballmer attack android phone well window mobile metro http cosqne telegraph
positive,♻ @mariospr: Stand up for your freedom to install free software. Please sign up! http://t.co/YOOTfKTM #gnu #against #microsoft,mariospr stand freedom install free software please sign http coyootfktm microsoft
neutral,#Microsoft just bought #Skype officially. So how's the future of #Skype on any other devices/operating systems? :(,microsoft bought skype officially future skype devicesoperating system
neutral,#Google go went gone..server issues! first time since ages...now my faith in Tech. from #RIM to #Microsoft has been completely lifted,google went gone server issue first time since age faith tech microsoft completely lifted
neutral,"RT @sander_koers: #Google Apps vs. #Microsoft #Office 365: ""it is clear that Google Apps should be the top choice"" http://t.co/OySZmjVi #in",sander koers google apps microsoft office clear google apps choice http cooyszmjvi
neutral,Ouch!!! #Microsoft #Azure #fail http://t.co/LJpGVZJT,ouch microsoft azure fail http coljpgvzjt
neutral,"#Google Apps vs. #Microsoft #Office 365: ""it is clear that Google Apps should be the top choice"" http://t.co/KDTD4zRe",google apps microsoft office clear google apps choice http cokdtd
neutral,#microsoft #SBS 2011 disabling third party software #updates via #gpo,microsoft disabling third party software update
neutral,How #Apple eclipsed #Microsoft http://t.co/KxboqsKj,apple eclipsed microsoft http cokxboqskj
neutral,"Unmindful Ballmer, collects half a billion, doesn't say thank you.  http://t.co/lwtpXejo #android #google #microsoft",unmindful ballmer collect half billion thank http colwtpxejo android google microsoft
neutral,#Apple eclipsed #Microsoft http://t.co/wEdPbcPx,apple eclipsed microsoft http cowedpbcpx
neutral,http://t.co/5oK4XcOw Microsoft !! i hate you again !! #microsoft,http xcow microsoft hate microsoft
neutral,"Open Letter: Steve Ballmer, Please Retire - Forbes - Please retweet! #MSFT needs a techie leader. http://t.co/E8uMRmro #microsoft #ballmer",open letter steve ballmer please retire forbes please retweet msft need techie leader http umrmro microsoft ballmer
neutral,@MatthewGPhy One Operating System to rule them all and in the darkness bind them.  #Microsoft,matthewgphy operating system rule darkness bind microsoft
neutral,"I wonder if I tweet Bill Gates he'll fix my laptop... 

#Microsoft
#vista
#fml",wonder tweet bill gate laptop microsoft vista
neutral,RT @anup_pillai: How #Apple eclipsed #Microsoft | http://t.co/r6hNEtTu,anup pillai apple eclipsed microsoft http hnettu
neutral,"After I don't know how many years, you still can't copy a #microsoft #word document headings to #powerpoint. #justsaying",know many year still copy microsoft word document heading powerpoint justsaying
neutral,"#microsoft #careers site is giving errors for any thing i search!! #weird
http://t.co/vJ2JpKtM http://t.co/02dYONXz",microsoft career site giving error thing search weird http covj jpktm http dyonxz
neutral,"Installing .NET framework, this might take very many years. Come back when your unborn child is in college. #microsoft",installing framework might take many year come back unborn child college microsoft
positive,Watching podcast of Steve Jobs & Bill Gates at 07 D5. Gates sucks at tech predictions! All talk #Apple #Microsoft,watching podcast steve job bill gate gate suck tech prediction talk apple microsoft
neutral,My#Dell comp on shitty #Microsoft vista blue screened i swear this is steve jobs ghost coming back to finish what he started#appledomination,dell comp shitty microsoft vista blue screened swear steve job ghost coming back finish started appledomination
neutral,#WTF #Microsoft #sbs2008 #rww only works in #IE. #browserwars,microsoft work browserwars
